Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0805_2012Metric,-20.77974,-43.10126,90,bottom
C2,22p,C_0805_2012Metric,-202.61,-38.29,180,bottom
C3,0.1uF,C_0805_2012Metric,-26.40584,-37.77234,0,bottom
C4,0.1uF,C_0805_2012Metric,-189.20206,-24.72436,180,bottom
C5,0.1uF,C_0805_2012Metric,-26.416,-45.25264,180,bottom
C6,0.1uF,C_0805_2012Metric,-198.08952,-20.35302,90,bottom
C7,10uF,CP_Elec_4x5.3,-71.24954,-20.60702,270,bottom
C8,22uF,CP_Elec_4x5.3,-77.1144,-26.51252,180,bottom
C9,1u,C_0805_2012Metric,-102.0826,-52.5907,90,bottom
C10,1u,C_0805_2012Metric,-100.6856,-31.56966,180,bottom
C11,0.1uF,C_0805_2012Metric,-100.51796,-49.37252,0,bottom
C12,0.1uF,C_0805_2012Metric,-109.03458,-18.60042,0,bottom
C13,0.1uF,C_0805_2012Metric,-123.75896,-18.51914,270,bottom
C14,0.1uF,C_0805_2012Metric,-96.2406,-20.1295,90,bottom
C15,0.1uF,C_0805_2012Metric,-76.11364,-34.78022,180,bottom
C16,0.1uF,C_0805_2012Metric,-134.42696,-38.99662,0,bottom
C17,0.1uF,C_0805_2012Metric,-134.41426,-27.3939,0,bottom
C18,0.1uF,C_0805_2012Metric,-51.47056,-30.3276,180,bottom
C19,0.1uF,C_0805_2012Metric,-59.09056,-43.00728,180,bottom
C20,0.1uF,C_0805_2012Metric,-57.98816,-30.11424,180,bottom
C21,0.1uF,C_0805_2012Metric,-74.79538,-31.45282,270,bottom
D1,D_Small,D_MiniMELF,-100.33508,-55.74284,180,bottom
D2,D_Small,D_MiniMELF,-139.50442,-46.9646,90,bottom
R1,8.2k,R_0805_2012Metric,-18.48866,-37.51072,0,bottom
R2,8.2k,R_0805_2012Metric,-189.27826,-17.09928,0,bottom
R3,2.7k,R_0805_2012Metric,-16.88338,-40.77208,270,bottom
R4,2.7k,R_0805_2012Metric,-198.08952,-24.00046,270,bottom
R5,1k,R_0805_2012Metric,-20.32,-39.86022,180,bottom
R6,1k,R_0805_2012Metric,-190.17742,-21.49094,90,bottom
R7,1.8k,R_0805_2012Metric,-26.38044,-47.74438,180,bottom
R8,1.8k,R_0805_2012Metric,-190.18758,-43.11904,0,bottom
R9,5.6k,R_0805_2012Metric,-41.83824,-43.99534,270,bottom
R10,3.9k,R_0805_2012Metric,-39.33634,-44.01502,270,bottom
R11,2.7k,R_0805_2012Metric,-36.85222,-44.0182,270,bottom
R12,1.8k,R_0805_2012Metric,-34.34016,-44.0182,270,bottom
R13,1k,R_0805_2012Metric,-34.37,-32.82,90,bottom
R14,470,R_0805_2012Metric,-37.83,-33.73,180,bottom
R15,5.6k,R_0805_2012Metric,-201.6487,-44.01074,270,bottom
R16,3.9k,R_0805_2012Metric,-199.1487,-44.01074,270,bottom
R17,2.7k,R_0805_2012Metric,-196.6487,-44.01074,270,bottom
R18,1.8k,R_0805_2012Metric,-194.1487,-44.01074,270,bottom
R19,1k,R_0805_2012Metric,-194.14,-32.88,90,bottom
R20,470,R_0805_2012Metric,-197.77,-32.51,180,bottom
R21,180,R_0805_2012Metric,-78.74762,-55.97144,0,bottom
R22,180,R_0805_2012Metric,-138.684,-59.6138,0,bottom
R23,51k,R_0805_2012Metric,-114.43208,-27.35834,180,bottom
R24,51k,R_0805_2012Metric,-138.68146,-57.31256,0,bottom
R25,22k,R_0805_2012Metric,-108.43768,-25.54732,270,bottom
R26,22k,R_0805_2012Metric,-142.1638,-46.1264,90,bottom
R27,180,R_0805_2012Metric,-94.8055,-40.16756,0,bottom
R28,180,R_0805_2012Metric,-144.13484,-40.15994,180,bottom
R29,180,R_0805_2012Metric,-114.43208,-29.76118,180,bottom
R30,120k,R_0805_2012Metric,-48.11014,-31.98622,270,bottom
R31,39k,R_0805_2012Metric,-51.50358,-27.95524,0,bottom
R32,6.8k,R_0805_2012Metric,-64.0334,-33.28924,90,bottom
R33,12k,R_0805_2012Metric,-69.80428,-27.55138,0,bottom
R34,27k,R_0805_2012Metric,-78.11262,-31.48076,270,bottom
R35,18k,R_0805_2012Metric,-82.88528,-42.74566,270,bottom
R36,56,R_0805_2012Metric,-77.7113,-42.95902,0,bottom
R37,150,R_0805_2012Metric,-84.70646,-28.45816,270,bottom
R38,150,R_0805_2012Metric,-84.70392,-33.65754,270,bottom
R39,150,R_0805_2012Metric,-84.70392,-38.76802,270,bottom
R40,150,R_0805_2012Metric,-84.70646,-23.22322,270,bottom
R41,6.8k,R_0805_2012Metric,-134.80288,-19.20748,180,bottom
R42,12k,R_0805_2012Metric,-138.09218,-18.48358,270,bottom
R43,27k,R_0805_2012Metric,-139.84986,-24.29002,270,bottom
R44,18k,R_0805_2012Metric,-134.24154,-31.00832,0,bottom
R45,56,R_0805_2012Metric,-139.74572,-32.26816,90,bottom
R46,150,R_0805_2012Metric,-144.13484,-24.56434,180,bottom
R47,150,R_0805_2012Metric,-144.13484,-29.76626,180,bottom
R48,150,R_0805_2012Metric,-144.13484,-34.97326,180,bottom
R49,150,R_0805_2012Metric,-144.13484,-19.37258,180,bottom
U1,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,-26.37536,-41.51376,0,bottom
U2,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,-194.18808,-22.2504,90,bottom
U3,AMS1117-5.0,SOT-223-3_TabPin2,-78.47076,-20.09648,0,bottom
U4,TL072,SOIC-8_3.9x4.9mm_P1.27mm,-100.57638,-45.27804,0,bottom
U5,74LVC2G14,SOT-23-6,-109.55274,-21.62048,0,bottom
U6,74VHC74,TSSOP-14_4.4x5mm_P0.65mm,-118.06936,-21.60524,0,bottom
U7,74HC08,SOIC-14_3.9x8.7mm_P1.27mm,-101.16058,-22.93112,180,bottom
U8,74HC08,SOIC-14_3.9x8.7mm_P1.27mm,-59.10072,-35.83432,180,bottom
U9,TL072,SOIC-8_3.9x4.9mm_P1.27mm,-59.08548,-47.117,180,bottom
U10,LM393,SOIC-8_3.9x4.9mm_P1.27mm,-69.71538,-31.38932,0,bottom
U11,LMV321,SOT-23-5,-51.63312,-33.6169,180,bottom
U12,LM393,SOIC-8_3.9x4.9mm_P1.27mm,-77.6351,-38.72992,180,bottom
U13,LM393,SOIC-8_3.9x4.9mm_P1.27mm,-134.43204,-23.41626,0,bottom
U14,LM393,SOIC-8_3.9x4.9mm_P1.27mm,-134.24154,-35.07232,0,bottom
